 v-sweep         v(vin)          v(vout)        
 2.14000000e-01  2.14000000e-01  1.49949918e+00 
 2.15000000e-01  2.15000000e-01  1.49948533e+00 
 2.16000000e-01  2.16000000e-01  1.49947116e+00 
 2.17000000e-01  2.17000000e-01  1.49945667e+00 
 2.18000000e-01  2.18000000e-01  1.49944183e+00 
 2.19000000e-01  2.19000000e-01  1.49942666e+00 
 2.20000000e-01  2.20000000e-01  1.49941114e+00 
 2.21000000e-01  2.21000000e-01  1.49939528e+00 
 2.22000000e-01  2.22000000e-01  1.49937906e+00 
 2.23000000e-01  2.23000000e-01  1.49936248e+00 
 2.24000000e-01  2.24000000e-01  1.49934553e+00 
 2.25000000e-01  2.25000000e-01  1.49932821e+00 
 2.26000000e-01  2.26000000e-01  1.49931053e+00 
 2.27000000e-01  2.27000000e-01  1.49929246e+00 
 2.28000000e-01  2.28000000e-01  1.49927400e+00 
 2.29000000e-01  2.29000000e-01  1.49925516e+00 
 2.30000000e-01  2.30000000e-01  1.49923592e+00 
 2.31000000e-01  2.31000000e-01  1.49921629e+00 
 2.32000000e-01  2.32000000e-01  1.49919625e+00 
 2.33000000e-01  2.33000000e-01  1.49917580e+00 
 2.34000000e-01  2.34000000e-01  1.49915494e+00 
 2.35000000e-01  2.35000000e-01  1.49913367e+00 
 2.36000000e-01  2.36000000e-01  1.49911197e+00 
 2.37000000e-01  2.37000000e-01  1.49908984e+00 
 2.38000000e-01  2.38000000e-01  1.49906728e+00 
 2.39000000e-01  2.39000000e-01  1.49904429e+00 
 2.40000000e-01  2.40000000e-01  1.49902086e+00 
 2.41000000e-01  2.41000000e-01  1.49899698e+00 
 2.42000000e-01  2.42000000e-01  1.49897265e+00 
 2.43000000e-01  2.43000000e-01  1.49894787e+00 
 2.44000000e-01  2.44000000e-01  1.49892263e+00 
 2.45000000e-01  2.45000000e-01  1.49889693e+00 
 2.46000000e-01  2.46000000e-01  1.49887077e+00 
 2.47000000e-01  2.47000000e-01  1.49884413e+00 
 2.48000000e-01  2.48000000e-01  1.49881702e+00 
 2.49000000e-01  2.49000000e-01  1.49878943e+00 
 2.50000000e-01  2.50000000e-01  1.49876135e+00 
 2.51000000e-01  2.51000000e-01  1.49873279e+00 
 2.52000000e-01  2.52000000e-01  1.49870374e+00 
 2.53000000e-01  2.53000000e-01  1.49867419e+00 
 2.54000000e-01  2.54000000e-01  1.49864415e+00 
 2.55000000e-01  2.55000000e-01  1.49861360e+00 
 2.56000000e-01  2.56000000e-01  1.49858254e+00 
 2.57000000e-01  2.57000000e-01  1.49855097e+00 
 2.58000000e-01  2.58000000e-01  1.49851889e+00 
 2.59000000e-01  2.59000000e-01  1.49848629e+00 
 2.60000000e-01  2.60000000e-01  1.49845316e+00 
 2.61000000e-01  2.61000000e-01  1.49841951e+00 
 2.62000000e-01  2.62000000e-01  1.49838533e+00 
 2.63000000e-01  2.63000000e-01  1.49835061e+00 
 2.64000000e-01  2.64000000e-01  1.49831536e+00 
 2.65000000e-01  2.65000000e-01  1.49827956e+00 
 2.66000000e-01  2.66000000e-01  1.49824322e+00 
 2.67000000e-01  2.67000000e-01  1.49820632e+00 
 2.68000000e-01  2.68000000e-01  1.49816888e+00 
 2.69000000e-01  2.69000000e-01  1.49813087e+00 
 2.70000000e-01  2.70000000e-01  1.49809231e+00 
 2.71000000e-01  2.71000000e-01  1.49805318e+00 
 2.72000000e-01  2.72000000e-01  1.49801348e+00 
 2.73000000e-01  2.73000000e-01  1.49797321e+00 
 2.74000000e-01  2.74000000e-01  1.49793236e+00 
 2.75000000e-01  2.75000000e-01  1.49789094e+00 
 2.76000000e-01  2.76000000e-01  1.49784893e+00 
 2.77000000e-01  2.77000000e-01  1.49780633e+00 
 2.78000000e-01  2.78000000e-01  1.49776314e+00 
 2.79000000e-01  2.79000000e-01  1.49771936e+00 
 2.80000000e-01  2.80000000e-01  1.49767498e+00 
 2.81000000e-01  2.81000000e-01  1.49762999e+00 
 2.82000000e-01  2.82000000e-01  1.49758440e+00 
 2.83000000e-01  2.83000000e-01  1.49753820e+00 
 2.84000000e-01  2.84000000e-01  1.49749139e+00 
 2.85000000e-01  2.85000000e-01  1.49744395e+00 
 2.86000000e-01  2.86000000e-01  1.49739590e+00 
 2.87000000e-01  2.87000000e-01  1.49734722e+00 
 2.88000000e-01  2.88000000e-01  1.49729791e+00 
 2.89000000e-01  2.89000000e-01  1.49724797e+00 
 2.90000000e-01  2.90000000e-01  1.49719739e+00 
 2.91000000e-01  2.91000000e-01  1.49714617e+00 
 2.92000000e-01  2.92000000e-01  1.49709430e+00 
 2.93000000e-01  2.93000000e-01  1.49704179e+00 
 2.94000000e-01  2.94000000e-01  1.49698862e+00 
 2.95000000e-01  2.95000000e-01  1.49693480e+00 
 2.96000000e-01  2.96000000e-01  1.49688032e+00 
 2.97000000e-01  2.97000000e-01  1.49682517e+00 
 2.98000000e-01  2.98000000e-01  1.49676935e+00 
 2.99000000e-01  2.99000000e-01  1.49671286e+00 
 3.00000000e-01  3.00000000e-01  1.49665569e+00 
 3.01000000e-01  3.01000000e-01  1.49659785e+00 
 3.02000000e-01  3.02000000e-01  1.49653932e+00 
 3.03000000e-01  3.03000000e-01  1.49648010e+00 
 3.04000000e-01  3.04000000e-01  1.49642018e+00 
 3.05000000e-01  3.05000000e-01  1.49635957e+00 
 3.06000000e-01  3.06000000e-01  1.49629826e+00 
 3.07000000e-01  3.07000000e-01  1.49623625e+00 
 3.08000000e-01  3.08000000e-01  1.49617352e+00 
 3.09000000e-01  3.09000000e-01  1.49611008e+00 
 3.10000000e-01  3.10000000e-01  1.49604592e+00 
 3.11000000e-01  3.11000000e-01  1.49598104e+00 
 3.12000000e-01  3.12000000e-01  1.49591544e+00 
 3.13000000e-01  3.13000000e-01  1.49584910e+00 
 3.14000000e-01  3.14000000e-01  1.49578203e+00 
 3.15000000e-01  3.15000000e-01  1.49571422e+00 
 3.16000000e-01  3.16000000e-01  1.49564567e+00 
 3.17000000e-01  3.17000000e-01  1.49557637e+00 
 3.18000000e-01  3.18000000e-01  1.49550632e+00 
 3.19000000e-01  3.19000000e-01  1.49543551e+00 
 3.20000000e-01  3.20000000e-01  1.49536394e+00 
 3.21000000e-01  3.21000000e-01  1.49529160e+00 
 3.22000000e-01  3.22000000e-01  1.49521850e+00 
 3.23000000e-01  3.23000000e-01  1.49514462e+00 
 3.24000000e-01  3.24000000e-01  1.49506996e+00 
 3.25000000e-01  3.25000000e-01  1.49499452e+00 
 3.26000000e-01  3.26000000e-01  1.49491829e+00 
 3.27000000e-01  3.27000000e-01  1.49484127e+00 
 3.28000000e-01  3.28000000e-01  1.49476346e+00 
 3.29000000e-01  3.29000000e-01  1.49468484e+00 
 3.30000000e-01  3.30000000e-01  1.49460542e+00 
 3.31000000e-01  3.31000000e-01  1.49452519e+00 
 3.32000000e-01  3.32000000e-01  1.49444414e+00 
 3.33000000e-01  3.33000000e-01  1.49436228e+00 
 3.34000000e-01  3.34000000e-01  1.49427959e+00 
 3.35000000e-01  3.35000000e-01  1.49419607e+00 
 3.36000000e-01  3.36000000e-01  1.49411172e+00 
 3.37000000e-01  3.37000000e-01  1.49402653e+00 
 3.38000000e-01  3.38000000e-01  1.49394049e+00 
 3.39000000e-01  3.39000000e-01  1.49385362e+00 
 3.40000000e-01  3.40000000e-01  1.49376588e+00 
 3.41000000e-01  3.41000000e-01  1.49367730e+00 
 3.42000000e-01  3.42000000e-01  1.49358785e+00 
 3.43000000e-01  3.43000000e-01  1.49349753e+00 
 3.44000000e-01  3.44000000e-01  1.49340634e+00 
 3.45000000e-01  3.45000000e-01  1.49331428e+00 
 3.46000000e-01  3.46000000e-01  1.49322134e+00 
 3.47000000e-01  3.47000000e-01  1.49312751e+00 
 3.48000000e-01  3.48000000e-01  1.49303279e+00 
 3.49000000e-01  3.49000000e-01  1.49293717e+00 
 3.50000000e-01  3.50000000e-01  1.49284066e+00 
 3.51000000e-01  3.51000000e-01  1.49274324e+00 
 3.52000000e-01  3.52000000e-01  1.49264490e+00 
 3.53000000e-01  3.53000000e-01  1.49254566e+00 
 3.54000000e-01  3.54000000e-01  1.49244549e+00 
 3.55000000e-01  3.55000000e-01  1.49234440e+00 
 3.56000000e-01  3.56000000e-01  1.49224238e+00 
 3.57000000e-01  3.57000000e-01  1.49213942e+00 
 3.58000000e-01  3.58000000e-01  1.49203552e+00 
 3.59000000e-01  3.59000000e-01  1.49193068e+00 
 3.60000000e-01  3.60000000e-01  1.49182488e+00 
 3.61000000e-01  3.61000000e-01  1.49171813e+00 
 3.62000000e-01  3.62000000e-01  1.49161042e+00 
 3.63000000e-01  3.63000000e-01  1.49150174e+00 
 3.64000000e-01  3.64000000e-01  1.49139209e+00 
 3.65000000e-01  3.65000000e-01  1.49128147e+00 
 3.66000000e-01  3.66000000e-01  1.49116986e+00 
 3.67000000e-01  3.67000000e-01  1.49105727e+00 
 3.68000000e-01  3.68000000e-01  1.49094368e+00 
 3.69000000e-01  3.69000000e-01  1.49082910e+00 
 3.70000000e-01  3.70000000e-01  1.49071351e+00 
 3.71000000e-01  3.71000000e-01  1.49059691e+00 
 3.72000000e-01  3.72000000e-01  1.49047931e+00 
 3.73000000e-01  3.73000000e-01  1.49036068e+00 
 3.74000000e-01  3.74000000e-01  1.49024102e+00 
 3.75000000e-01  3.75000000e-01  1.49012034e+00 
 3.76000000e-01  3.76000000e-01  1.48999862e+00 
 3.77000000e-01  3.77000000e-01  1.48987586e+00 
 3.78000000e-01  3.78000000e-01  1.48975206e+00 
 3.79000000e-01  3.79000000e-01  1.48962720e+00 
 3.80000000e-01  3.80000000e-01  1.48950128e+00 
 3.81000000e-01  3.81000000e-01  1.48937431e+00 
 3.82000000e-01  3.82000000e-01  1.48924626e+00 
 3.83000000e-01  3.83000000e-01  1.48911714e+00 
 3.84000000e-01  3.84000000e-01  1.48898693e+00 
 3.85000000e-01  3.85000000e-01  1.48885565e+00 
 3.86000000e-01  3.86000000e-01  1.48872327e+00 
 3.87000000e-01  3.87000000e-01  1.48858979e+00 
 3.88000000e-01  3.88000000e-01  1.48845521e+00 
 3.89000000e-01  3.89000000e-01  1.48831952e+00 
 3.90000000e-01  3.90000000e-01  1.48818272e+00 
 3.91000000e-01  3.91000000e-01  1.48804479e+00 
 3.92000000e-01  3.92000000e-01  1.48790574e+00 
 3.93000000e-01  3.93000000e-01  1.48776556e+00 
 3.94000000e-01  3.94000000e-01  1.48762423e+00 
 3.95000000e-01  3.95000000e-01  1.48748177e+00 
 3.96000000e-01  3.96000000e-01  1.48733815e+00 
 3.97000000e-01  3.97000000e-01  1.48719337e+00 
 3.98000000e-01  3.98000000e-01  1.48704744e+00 
 3.99000000e-01  3.99000000e-01  1.48690033e+00 
 4.00000000e-01  4.00000000e-01  1.48675205e+00 
 4.01000000e-01  4.01000000e-01  1.48660259e+00 
 4.02000000e-01  4.02000000e-01  1.48645194e+00 
 4.03000000e-01  4.03000000e-01  1.48630010e+00 
 4.04000000e-01  4.04000000e-01  1.48614706e+00 
 4.05000000e-01  4.05000000e-01  1.48599281e+00 
 4.06000000e-01  4.06000000e-01  1.48583735e+00 
 4.07000000e-01  4.07000000e-01  1.48568067e+00 
 4.08000000e-01  4.08000000e-01  1.48552276e+00 
 4.09000000e-01  4.09000000e-01  1.48536363e+00 
 4.10000000e-01  4.10000000e-01  1.48520325e+00 
 4.11000000e-01  4.11000000e-01  1.48504163e+00 
 4.12000000e-01  4.12000000e-01  1.48487876e+00 
 4.13000000e-01  4.13000000e-01  1.48471463e+00 
 4.14000000e-01  4.14000000e-01  1.48454923e+00 
 4.15000000e-01  4.15000000e-01  1.48438257e+00 
 4.16000000e-01  4.16000000e-01  1.48421462e+00 
 4.17000000e-01  4.17000000e-01  1.48404539e+00 
 4.18000000e-01  4.18000000e-01  1.48387487e+00 
 4.19000000e-01  4.19000000e-01  1.48370305e+00 
 4.20000000e-01  4.20000000e-01  1.48352992e+00 
 4.21000000e-01  4.21000000e-01  1.48335548e+00 
 4.22000000e-01  4.22000000e-01  1.48317972e+00 
 4.23000000e-01  4.23000000e-01  1.48300264e+00 
 4.24000000e-01  4.24000000e-01  1.48282422e+00 
 4.25000000e-01  4.25000000e-01  1.48264446e+00 
 4.26000000e-01  4.26000000e-01  1.48246335e+00 
 4.27000000e-01  4.27000000e-01  1.48228089e+00 
 4.28000000e-01  4.28000000e-01  1.48209706e+00 
 4.29000000e-01  4.29000000e-01  1.48191186e+00 
 4.30000000e-01  4.30000000e-01  1.48172529e+00 
 4.31000000e-01  4.31000000e-01  1.48153733e+00 
 4.32000000e-01  4.32000000e-01  1.48134798e+00 
 4.33000000e-01  4.33000000e-01  1.48115723e+00 
 4.34000000e-01  4.34000000e-01  1.48096507e+00 
 4.35000000e-01  4.35000000e-01  1.48077149e+00 
 4.36000000e-01  4.36000000e-01  1.48057650e+00 
 4.37000000e-01  4.37000000e-01  1.48038007e+00 
 4.38000000e-01  4.38000000e-01  1.48018220e+00 
 4.39000000e-01  4.39000000e-01  1.47998289e+00 
 4.40000000e-01  4.40000000e-01  1.47978212e+00 
 4.41000000e-01  4.41000000e-01  1.47957989e+00 
 4.42000000e-01  4.42000000e-01  1.47937620e+00 
 4.43000000e-01  4.43000000e-01  1.47917102e+00 
 4.44000000e-01  4.44000000e-01  1.47896435e+00 
 4.45000000e-01  4.45000000e-01  1.47875619e+00 
 4.46000000e-01  4.46000000e-01  1.47854653e+00 
 4.47000000e-01  4.47000000e-01  1.47833536e+00 
 4.48000000e-01  4.48000000e-01  1.47812266e+00 
 4.49000000e-01  4.49000000e-01  1.47790844e+00 
 4.50000000e-01  4.50000000e-01  1.47769268e+00 
 4.51000000e-01  4.51000000e-01  1.47747537e+00 
 4.52000000e-01  4.52000000e-01  1.47725651e+00 
 4.53000000e-01  4.53000000e-01  1.47703609e+00 
 4.54000000e-01  4.54000000e-01  1.47681410e+00 
 4.55000000e-01  4.55000000e-01  1.47659052e+00 
 4.56000000e-01  4.56000000e-01  1.47636535e+00 
 4.57000000e-01  4.57000000e-01  1.47613859e+00 
 4.58000000e-01  4.58000000e-01  1.47591022e+00 
 4.59000000e-01  4.59000000e-01  1.47568023e+00 
 4.60000000e-01  4.60000000e-01  1.47544861e+00 
 4.61000000e-01  4.61000000e-01  1.47521536e+00 
 4.62000000e-01  4.62000000e-01  1.47498046e+00 
 4.63000000e-01  4.63000000e-01  1.47474390e+00 
 4.64000000e-01  4.64000000e-01  1.47450568e+00 
 4.65000000e-01  4.65000000e-01  1.47426579e+00 
 4.66000000e-01  4.66000000e-01  1.47402421e+00 
 4.67000000e-01  4.67000000e-01  1.47378094e+00 
 4.68000000e-01  4.68000000e-01  1.47353597e+00 
 4.69000000e-01  4.69000000e-01  1.47328928e+00 
 4.70000000e-01  4.70000000e-01  1.47304087e+00 
 4.71000000e-01  4.71000000e-01  1.47279072e+00 
 4.72000000e-01  4.72000000e-01  1.47253883e+00 
 4.73000000e-01  4.73000000e-01  1.47228518e+00 
 4.74000000e-01  4.74000000e-01  1.47202977e+00 
 4.75000000e-01  4.75000000e-01  1.47177258e+00 
 4.76000000e-01  4.76000000e-01  1.47151360e+00 
 4.77000000e-01  4.77000000e-01  1.47125283e+00 
 4.78000000e-01  4.78000000e-01  1.47099024e+00 
 4.79000000e-01  4.79000000e-01  1.47072584e+00 
 4.80000000e-01  4.80000000e-01  1.47045961e+00 
